"","index","Store","Date","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","IsHoliday"
"44",43,1,"2010-12-03",49.27,2.708,NA,NA,NA,NA,NA,211.607193,7.838,0
"45",44,1,"2010-12-10",46.33,2.843,NA,NA,NA,NA,NA,211.4659526,7.838,0
"46",45,1,"2010-12-17",49.84,2.869,NA,NA,NA,NA,NA,211.4053124,7.838,0
"47",46,1,"2010-12-24",52.33,2.886,NA,NA,NA,NA,NA,211.4051222,7.838,0
"48",47,1,"2010-12-31",48.43,2.943,NA,NA,NA,NA,NA,211.4049321,7.838,1
"49",48,1,"2011-01-07",48.27,2.976,NA,NA,NA,NA,NA,211.4047419,7.742,0
"50",49,1,"2011-01-14",35.4,2.983,NA,NA,NA,NA,NA,211.4574109,7.742,0
"51",50,1,"2011-01-21",44.04,3.016,NA,NA,NA,NA,NA,211.8272343,7.742,0
"52",51,1,"2011-01-28",43.83,3.01,NA,NA,NA,NA,NA,212.1970577,7.742,0
"53",52,1,"2011-02-04",42.27,2.989,NA,NA,NA,NA,NA,212.5668812,7.742,0
"54",53,1,"2011-02-11",36.39,3.022,NA,NA,NA,NA,NA,212.9367046,7.742,1
"55",54,1,"2011-02-18",57.36,3.045,NA,NA,NA,NA,NA,213.2478853,7.742,0
"56",55,1,"2011-02-25",62.9,3.065,NA,NA,NA,NA,NA,213.535609,7.742,0
"57",56,1,"2011-03-04",59.58,3.288,NA,NA,NA,NA,NA,213.8233327,7.742,0
"58",57,1,"2011-03-11",53.56,3.459,NA,NA,NA,NA,NA,214.1110564,7.742,0
"59",58,1,"2011-03-18",62.76,3.488,NA,NA,NA,NA,NA,214.3627114,7.742,0
"60",59,1,"2011-03-25",69.97,3.473,NA,NA,NA,NA,NA,214.5999389,7.742,0
"61",60,1,"2011-04-01",59.17,3.524,NA,NA,NA,NA,NA,214.8371664,7.682,0
"62",61,1,"2011-04-08",67.84,3.622,NA,NA,NA,NA,NA,215.0743939,7.682,0
"63",62,1,"2011-04-15",71.27,3.743,NA,NA,NA,NA,NA,215.2918561,7.682,0
"64",63,1,"2011-04-22",72.99,3.807,NA,NA,NA,NA,NA,215.4599053,7.682,0
"65",64,1,"2011-04-29",72.03,3.81,NA,NA,NA,NA,NA,215.6279544,7.682,0
"66",65,1,"2011-05-06",64.61,3.906,NA,NA,NA,NA,NA,215.7960035,7.682,0
"67",66,1,"2011-05-13",75.64,3.899,NA,NA,NA,NA,NA,215.9640526,7.682,0
"68",67,1,"2011-05-20",67.63,3.907,NA,NA,NA,NA,NA,215.7339202,7.682,0
"69",68,1,"2011-05-27",77.72,3.786,NA,NA,NA,NA,NA,215.5037878,7.682,0
"70",69,1,"2011-06-03",83,3.699,NA,NA,NA,NA,NA,215.2736553,7.682,0
"71",70,1,"2011-06-10",83.13,3.648,NA,NA,NA,NA,NA,215.0435229,7.682,0
"72",71,1,"2011-06-17",86.41,3.637,NA,NA,NA,NA,NA,214.9980596,7.682,0
"73",72,1,"2011-06-24",83.58,3.594,NA,NA,NA,NA,NA,215.0910982,7.682,0
"74",73,1,"2011-07-01",85.55,3.524,NA,NA,NA,NA,NA,215.1841368,7.962,0
"75",74,1,"2011-07-08",85.83,3.48,NA,NA,NA,NA,NA,215.2771754,7.962,0
"76",75,1,"2011-07-15",88.54,3.575,NA,NA,NA,NA,NA,215.3611087,7.962,0
"77",76,1,"2011-07-22",85.77,3.651,NA,NA,NA,NA,NA,215.4222784,7.962,0
"78",77,1,"2011-07-29",86.83,3.682,NA,NA,NA,NA,NA,215.4834482,7.962,0
"79",78,1,"2011-08-05",91.65,3.684,NA,NA,NA,NA,NA,215.544618,7.962,0
"80",79,1,"2011-08-12",90.76,3.638,NA,NA,NA,NA,NA,215.6057878,7.962,0
"81",80,1,"2011-08-19",89.94,3.554,NA,NA,NA,NA,NA,215.6693107,7.962,0
"82",81,1,"2011-08-26",87.96,3.523,NA,NA,NA,NA,NA,215.7332258,7.962,0
"83",82,1,"2011-09-02",87.83,3.533,NA,NA,NA,NA,NA,215.7971409,7.962,0
"84",83,1,"2011-09-09",76,3.546,NA,NA,NA,NA,NA,215.861056,7.962,1
"85",84,1,"2011-09-16",79.94,3.526,NA,NA,NA,NA,NA,216.0410526,7.962,0
"86",85,1,"2011-09-23",75.8,3.467,NA,NA,NA,NA,NA,216.3758246,7.962,0
"87",86,1,"2011-09-30",79.69,3.355,NA,NA,NA,NA,NA,216.7105965,7.962,0
"88",87,1,"2011-10-07",69.31,3.285,NA,NA,NA,NA,NA,217.0453684,7.866,0
"89",88,1,"2011-10-14",71.74,3.274,NA,NA,NA,NA,NA,217.3552733,7.866,0
"90",89,1,"2011-10-21",63.71,3.353,NA,NA,NA,NA,NA,217.5159762,7.866,0
"91",90,1,"2011-10-28",66.57,3.372,NA,NA,NA,NA,NA,217.6766791,7.866,0
"92",91,1,"2011-11-04",54.98,3.332,NA,NA,NA,NA,NA,217.837382,7.866,0
"93",92,1,"2011-11-11",59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,0
"94",93,1,"2011-11-18",62.25,3.308,6074.12,254.39,51.98,427.39,5988.57,218.2205088,7.866,0
"95",94,1,"2011-11-25",60.14,3.236,410.31,98,55805.51,8,554.92,218.4676211,7.866,1
"96",95,1,"2011-12-02",48.91,3.172,5629.51,68,1398.11,2084.64,20475.32,218.7147333,7.866,0
"97",96,1,"2011-12-09",43.93,3.158,4640.65,19,105.02,3639.42,14461.82,218.9618456,7.866,0
"98",97,1,"2011-12-16",51.63,3.159,5011.32,67,347.37,225.79,4011.37,219.1794533,7.866,0
"99",98,1,"2011-12-23",47.96,3.112,2725.36,40.48,634.7,24.9,2739.43,219.3577216,7.866,0
"100",99,1,"2011-12-30",44.55,3.129,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,7.866,1
"101",100,1,"2012-01-06",49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,0
"102",101,1,"2012-01-13",48.53,3.261,5183.29,8025.87,42.24,453.08,3719.38,219.8925263,7.348,0
"103",102,1,"2012-01-20",54.11,3.268,4139.87,2807.19,33.88,500.62,3400.21,219.9856893,7.348,0
"104",103,1,"2012-01-27",54.26,3.29,1164.46,1082.74,44,11,1222.19,220.0788523,7.348,0
"105",104,1,"2012-02-03",56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,0
"106",105,1,"2012-02-10",48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.2651783,7.348,1
"107",106,1,"2012-02-17",45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.4257586,7.348,0
"108",107,1,"2012-02-24",57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,7.348,0
"109",108,1,"2012-03-02",60.96,3.63,15441.4,1569,10.8,25390.88,8067.61,220.8480454,7.348,0
"110",109,1,"2012-03-09",58.76,3.669,10331.04,151.88,6,671.43,5509.84,221.0591887,7.348,0
"111",110,1,"2012-03-16",64.74,3.734,4298.16,7.5,2.02,2724.65,2017.69,221.2118132,7.348,0
"112",111,1,"2012-03-23",65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,7.348,0
"113",112,1,"2012-03-30",67.61,3.845,10309.58,0.5,10.25,1654.17,2642.78,221.3610119,7.348,0
"114",113,1,"2012-04-06",70.43,3.891,10121.97,NA,77.98,3750.59,4510.72,221.4356112,7.143,0
"115",114,1,"2012-04-13",69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,0
"116",115,1,"2012-04-20",66.76,3.877,2230.8,612.02,19.75,275.13,5747.1,221.5640737,7.143,0
"117",116,1,"2012-04-27",67.23,3.814,3221.25,NA,35.49,577.14,6222.25,221.6179368,7.143,0
"118",117,1,"2012-05-04",75.55,3.749,21290.13,NA,69.89,4977.35,3261.04,221.6718,7.143,0
"119",118,1,"2012-05-11",73.77,3.688,8351.4,NA,10.52,2443.14,3127.88,221.7256632,7.143,0
"120",119,1,"2012-05-18",70.33,3.63,6154.14,NA,45.11,1675.49,5508.18,221.742674,7.143,0
"121",120,1,"2012-05-25",77.22,3.561,4039.39,NA,745.19,1429.96,3631.13,221.744944,7.143,0
"122",121,1,"2012-06-01",77.95,3.501,6086.21,12,370.51,148.75,3690.85,221.7472139,7.143,0
"123",122,1,"2012-06-08",78.3,3.452,8813.81,116.8,64.55,2652.04,7161.91,221.7494839,7.143,0
"124",123,1,"2012-06-15",79.35,3.393,5621.99,109.6,0.25,2420.28,3083.26,221.7626421,7.143,0
"125",124,1,"2012-06-22",78.39,3.346,8624.56,171.25,3.05,2524.07,7063.68,221.8030211,7.143,0
"126",125,1,"2012-06-29",84.88,3.286,3965.73,161.6,NA,435.99,4212.97,221.8434,7.143,0
"127",126,1,"2012-07-06",81.57,3.227,12218.76,94.4,192.83,4066.01,6149.04,221.8837789,6.908,0
"128",127,1,"2012-07-13",77.12,3.256,7218.13,45.2,36.24,3909.38,2596.37,221.9241579,6.908,0
"129",128,1,"2012-07-20",80.42,3.311,3213,313.72,9.53,2262.02,3228.19,221.9327267,6.908,0
"130",129,1,"2012-07-27",82.66,3.407,7146.9,389.02,1.59,10267.54,4325.19,221.9412954,6.908,0
"131",130,1,"2012-08-03",86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,0
"132",131,1,"2012-08-10",85.05,3.494,11436.22,245,6.85,6964.26,4836.22,221.9584329,6.908,0
"133",132,1,"2012-08-17",84.85,3.571,3662.06,137.86,4.84,2752.2,3446.15,222.0384109,6.908,0
"134",133,1,"2012-08-24",77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.1719457,6.908,0
"135",134,1,"2012-08-31",80.49,3.638,21442.73,102.32,21.7,13209.64,3032.96,222.3054805,6.908,0
"136",135,1,"2012-09-07",83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,1
"137",136,1,"2012-09-14",74.97,3.717,17212.52,7,18.79,1523.11,7992.72,222.5820193,6.908,0
"138",137,1,"2012-09-21",69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.908,0
"139",138,1,"2012-09-28",76.08,3.666,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.908,0
"140",139,1,"2012-10-05",68.55,3.617,8077.89,NA,18.22,3617.43,3626.14,223.1814772,6.573,0
"141",140,1,"2012-10-12",62.99,3.601,2086.18,NA,8.11,602.36,5926.45,223.3812965,6.573,0
"142",141,1,"2012-10-19",67.97,3.594,950.33,NA,4.93,80.25,2312.85,223.4257233,6.573,0
"143",142,1,"2012-10-26",69.16,3.506,2585.85,31.75,6,1057.16,1305.01,223.4442513,6.573,0
"144",143,1,"2012-11-02",55.32,3.386,6766.44,5147.7,50.82,3639.9,2737.42,223.4627793,6.573,0
"145",144,1,"2012-11-09",61.24,3.314,11421.32,3370.89,40.28,4646.79,6154.16,223.4813073,6.573,0
"146",145,1,"2012-11-16",52.92,3.252,9696.28,292.1,103.78,1133.15,6612.69,223.5129105,6.573,0
"147",146,1,"2012-11-23",56.23,3.211,883.59,4.17,74910.32,209.91,303.32,223.5619474,6.573,1
"148",147,1,"2012-11-30",52.34,3.207,2460.03,NA,3838.35,150.57,6966.34,223.6109842,6.573,0
"149",148,1,"2012-12-07",64.12,3.198,6343.16,NA,270,2928.9,10147.9,223.6600211,6.573,0
"150",149,1,"2012-12-14",48.89,3.168,3504.83,NA,73.26,1636.8,2779.6,223.7192767,6.573,0
"151",150,1,"2012-12-21",56.02,3.098,8231.71,NA,274,358.15,2834.02,223.8398455,6.573,0
"152",151,1,"2012-12-28",44.79,3.108,12659.55,37101.13,174.78,74.46,1208.86,223.9604143,6.573,1
"153",152,1,"2013-01-04",41.73,3.161,1214.08,25366.33,15.01,72.36,3940.02,224.080983,6.525,0
"154",153,1,"2013-01-11",50.32,3.243,6520.24,16134.6,12.17,774.55,4001.25,224.2015518,6.525,0
"155",154,1,"2013-01-18",42.92,3.237,3772.69,3559.46,3.88,246.62,1900.4,224.2358132,6.525,0
"156",155,1,"2013-01-25",53.37,3.227,965.89,1097.91,0.1,225.36,1831.88,224.2355518,6.525,0
"157",156,1,"2013-02-01",56.46,3.244,9290.91,1359.9,265,20657.82,972.61,224.2352903,6.525,0
"158",157,1,"2013-02-08",56.67,3.417,32355.16,729.8,280.89,20426.61,4671.78,224.2350289,6.525,1
"159",158,1,"2013-02-15",49.66,3.475,72937.29,6665.52,47.21,13014.67,6310.18,224.2760526,6.525,0
"160",159,1,"2013-02-22",50.25,3.597,20107.75,3163.89,42.2,15657.3,5812.86,224.4202895,6.525,0
"161",160,1,"2013-03-01",48.01,3.711,10610.74,261.46,2.8,25.54,2747.59,224.5645263,6.525,0
"162",161,1,"2013-03-08",50.81,3.658,5000.58,290.46,78.77,606.15,3697.11,224.7087632,6.525,0
"163",162,1,"2013-03-15",55.33,3.622,3808.13,NA,15.65,2616.6,1909.17,224.8356808,6.525,0
"164",163,1,"2013-03-22",63.42,3.611,12553.98,NA,495.1,6787.75,2545.66,224.9193005,6.525,0
"165",164,1,"2013-03-29",51,3.606,13067.46,NA,384.9,122.93,3903.8,225.0029202,6.525,0
"166",165,1,"2013-04-05",58.59,3.583,12872.34,5687.86,485.97,478.04,5092.33,225.0865399,6.314,0
"167",166,1,"2013-04-12",62.72,3.529,3672.43,932.58,52.86,949.07,2836.64,225.1701596,6.314,0
"168",167,1,"2013-04-19",67.1,3.451,3530.36,3.95,107.5,458.76,2062.05,225.1701596,6.314,0
"169",168,1,"2013-04-26",59.23,3.417,2387.72,NA,98.34,516.28,1421.63,225.1701596,6.314,0
"170",169,1,"2013-05-03",66.66,3.386,2298.63,2,129.9,55.46,1301.04,NA,NA,0
"171",170,1,"2013-05-10",63.9,3.392,4624.61,83.88,42.38,1618.31,8144.9,NA,NA,0
"172",171,1,"2013-05-17",69.53,3.454,16170.5,92,8.32,4127.24,6206.97,NA,NA,0
"173",172,1,"2013-05-24",77.19,3.494,7959.89,178,1621.47,3152.57,2938.7,NA,NA,0
"174",173,1,"2013-05-31",78.02,3.466,2369.77,142.45,475.35,45.55,2056.84,NA,NA,0
"175",174,1,"2013-06-07",76.44,3.439,3514.75,742.59,116.15,1015.44,5137.09,NA,NA,0
"176",175,1,"2013-06-14",79.86,3.431,12592.32,527.48,402.88,7474.56,2484.44,NA,NA,0
"177",176,1,"2013-06-21",81.35,3.479,8104.02,417.99,327.33,5182.25,3754.44,NA,NA,0
"178",177,1,"2013-06-28",83.94,3.495,4205.98,796.7,6.84,3816.78,4812.74,NA,NA,0
"179",178,1,"2013-07-05",79.85,3.422,7649.99,3503.29,1766.77,9454.96,1079.89,NA,NA,0
"180",179,1,"2013-07-12",83.12,3.4,6089.94,1362.42,209.62,2367.42,2651.05,NA,NA,0
"181",180,1,"2013-07-19",79.26,3.556,3117.04,1060.39,199.05,1012.3,5381.72,NA,NA,0
"182",181,1,"2013-07-26",81.54,3.62,332.17,673.19,1,38.63,1245.2,NA,NA,0
"183",182,2,"2010-02-05",40.19,2.572,NA,NA,NA,NA,NA,210.7526053,8.324,0
"184",183,2,"2010-02-12",38.49,2.548,NA,NA,NA,NA,NA,210.8979935,8.324,1
"185",184,2,"2010-02-19",39.69,2.514,NA,NA,NA,NA,NA,210.9451605,8.324,0
"186",185,2,"2010-02-26",46.1,2.561,NA,NA,NA,NA,NA,210.9759573,8.324,0
"187",186,2,"2010-03-05",47.17,2.625,NA,NA,NA,NA,NA,211.0067542,8.324,0
"188",187,2,"2010-03-12",57.56,2.667,NA,NA,NA,NA,NA,211.037551,8.324,0
"189",188,2,"2010-03-19",54.52,2.72,NA,NA,NA,NA,NA,210.8733316,8.324,0
"190",189,2,"2010-03-26",51.26,2.732,NA,NA,NA,NA,NA,210.6766095,8.324,0
"191",190,2,"2010-04-02",63.27,2.719,NA,NA,NA,NA,NA,210.4798874,8.2,0
"192",191,2,"2010-04-09",65.41,2.77,NA,NA,NA,NA,NA,210.2831653,8.2,0
"193",192,2,"2010-04-16",68.07,2.808,NA,NA,NA,NA,NA,210.1495463,8.2,0
"194",193,2,"2010-04-23",65.11,2.795,NA,NA,NA,NA,NA,210.1000648,8.2,0
"195",194,2,"2010-04-30",66.98,2.78,NA,NA,NA,NA,NA,210.0505833,8.2,0
"196",195,2,"2010-05-07",71.28,2.835,NA,NA,NA,NA,NA,210.0011018,8.2,0
"197",196,2,"2010-05-14",73.31,2.854,NA,NA,NA,NA,NA,209.9984585,8.2,0
"198",197,2,"2010-05-21",74.83,2.826,NA,NA,NA,NA,NA,210.2768443,8.2,0
"199",198,2,"2010-05-28",81.13,2.759,NA,NA,NA,NA,NA,210.5552301,8.2,0
"200",199,2,"2010-06-04",81.81,2.705,NA,NA,NA,NA,NA,210.833616,8.2,0
"201",200,2,"2010-06-11",83.4,2.668,NA,NA,NA,NA,NA,211.1120018,8.2,0
"202",201,2,"2010-06-18",85.81,2.637,NA,NA,NA,NA,NA,211.1096543,8.2,0
"203",202,2,"2010-06-25",86.26,2.653,NA,NA,NA,NA,NA,210.9950134,8.2,0
"204",203,2,"2010-07-02",82.74,2.669,NA,NA,NA,NA,NA,210.8803726,8.099,0
"205",204,2,"2010-07-09",82.59,2.642,NA,NA,NA,NA,NA,210.7657317,8.099,0
"206",205,2,"2010-07-16",85.32,2.623,NA,NA,NA,NA,NA,210.7577954,8.099,0
"207",206,2,"2010-07-23",87.66,2.608,NA,NA,NA,NA,NA,210.8921319,8.099,0
"208",207,2,"2010-07-30",83.49,2.64,NA,NA,NA,NA,NA,211.0264684,8.099,0
"209",208,2,"2010-08-06",89.53,2.627,NA,NA,NA,NA,NA,211.1608049,8.099,0
"210",209,2,"2010-08-13",89.05,2.692,NA,NA,NA,NA,NA,211.2951413,8.099,0
"211",210,2,"2010-08-20",88.7,2.664,NA,NA,NA,NA,NA,211.2596586,8.099,0
"212",211,2,"2010-08-27",87.12,2.619,NA,NA,NA,NA,NA,211.2241759,8.099,0
"213",212,2,"2010-09-03",81.83,2.577,NA,NA,NA,NA,NA,211.1886931,8.099,0
"214",213,2,"2010-09-10",79.09,2.565,NA,NA,NA,NA,NA,211.1532104,8.099,1
"215",214,2,"2010-09-17",82.05,2.582,NA,NA,NA,NA,NA,211.1806415,8.099,0
"216",215,2,"2010-09-24",81.79,2.624,NA,NA,NA,NA,NA,211.2552578,8.099,0
"217",216,2,"2010-10-01",69.24,2.603,NA,NA,NA,NA,NA,211.3298742,8.163,0
"218",217,2,"2010-10-08",63.19,2.633,NA,NA,NA,NA,NA,211.4044906,8.163,0
"219",218,2,"2010-10-15",65.8,2.72,NA,NA,NA,NA,NA,211.4713286,8.163,0
"220",219,2,"2010-10-22",68.5,2.725,NA,NA,NA,NA,NA,211.5187208,8.163,0
"221",220,2,"2010-10-29",66.24,2.716,NA,NA,NA,NA,NA,211.5661131,8.163,0
"222",221,2,"2010-11-05",57.85,2.689,NA,NA,NA,NA,NA,211.6135053,8.163,0
"223",222,2,"2010-11-12",59.69,2.728,NA,NA,NA,NA,NA,211.6608975,8.163,0
"224",223,2,"2010-11-19",50.81,2.771,NA,NA,NA,NA,NA,211.5470304,8.163,0
"225",224,2,"2010-11-26",62.98,2.735,NA,NA,NA,NA,NA,211.4062867,8.163,1
"226",225,2,"2010-12-03",49.33,2.708,NA,NA,NA,NA,NA,211.265543,8.163,0
"227",226,2,"2010-12-10",45.5,2.843,NA,NA,NA,NA,NA,211.1247993,8.163,0
"228",227,2,"2010-12-17",47.55,2.869,NA,NA,NA,NA,NA,211.0645458,8.163,0
"229",228,2,"2010-12-24",49.97,2.886,NA,NA,NA,NA,NA,211.0646599,8.163,0
"230",229,2,"2010-12-31",47.3,2.943,NA,NA,NA,NA,NA,211.064774,8.163,1
"231",230,2,"2011-01-07",44.69,2.976,NA,NA,NA,NA,NA,211.0648881,8.028,0
"232",231,2,"2011-01-14",33.02,2.983,NA,NA,NA,NA,NA,211.1176713,8.028,0
"233",232,2,"2011-01-21",41.4,3.016,NA,NA,NA,NA,NA,211.4864691,8.028,0
"234",233,2,"2011-01-28",42.83,3.01,NA,NA,NA,NA,NA,211.8552668,8.028,0
"235",234,2,"2011-02-04",38.25,2.989,NA,NA,NA,NA,NA,212.2240646,8.028,0
"236",235,2,"2011-02-11",33.19,3.022,NA,NA,NA,NA,NA,212.5928624,8.028,1
"237",236,2,"2011-02-18",57.83,3.045,NA,NA,NA,NA,NA,212.9033115,8.028,0
"238",237,2,"2011-02-25",60.8,3.065,NA,NA,NA,NA,NA,213.190421,8.028,0
"239",238,2,"2011-03-04",57.77,3.288,NA,NA,NA,NA,NA,213.4775305,8.028,0
"240",239,2,"2011-03-11",52.7,3.459,NA,NA,NA,NA,NA,213.7646401,8.028,0
"241",240,2,"2011-03-18",62.32,3.488,NA,NA,NA,NA,NA,214.0156238,8.028,0
"242",241,2,"2011-03-25",69.42,3.473,NA,NA,NA,NA,NA,214.2521573,8.028,0
"243",242,2,"2011-04-01",55.43,3.524,NA,NA,NA,NA,NA,214.4886908,7.931,0
"244",243,2,"2011-04-08",67,3.622,NA,NA,NA,NA,NA,214.7252242,7.931,0
"245",244,2,"2011-04-15",69.48,3.743,NA,NA,NA,NA,NA,214.9420631,7.931,0
"246",245,2,"2011-04-22",69.39,3.807,NA,NA,NA,NA,NA,215.1096657,7.931,0
"247",246,2,"2011-04-29",69.21,3.81,NA,NA,NA,NA,NA,215.2772683,7.931,0
"248",247,2,"2011-05-06",61.48,3.906,NA,NA,NA,NA,NA,215.4448709,7.931,0
"249",248,2,"2011-05-13",74.61,3.899,NA,NA,NA,NA,NA,215.6124735,7.931,0
"250",249,2,"2011-05-20",67.14,3.907,NA,NA,NA,NA,NA,215.3834778,7.931,0
"251",250,2,"2011-05-27",76.42,3.786,NA,NA,NA,NA,NA,215.1544822,7.931,0
"252",251,2,"2011-06-03",83.07,3.699,NA,NA,NA,NA,NA,214.9254865,7.931,0
"253",252,2,"2011-06-10",83.4,3.648,NA,NA,NA,NA,NA,214.6964908,7.931,0
"254",253,2,"2011-06-17",86.53,3.637,NA,NA,NA,NA,NA,214.6513538,7.931,0
"255",254,2,"2011-06-24",85.17,3.594,NA,NA,NA,NA,NA,214.7441108,7.931,0
"256",255,2,"2011-07-01",85.69,3.524,NA,NA,NA,NA,NA,214.8368678,7.852,0
"257",256,2,"2011-07-08",87.7,3.48,NA,NA,NA,NA,NA,214.9296249,7.852,0
"258",257,2,"2011-07-15",89.83,3.575,NA,NA,NA,NA,NA,215.0134426,7.852,0
"259",258,2,"2011-07-22",89.34,3.651,NA,NA,NA,NA,NA,215.0749122,7.852,0
"260",259,2,"2011-07-29",90.07,3.682,NA,NA,NA,NA,NA,215.1363819,7.852,0
"261",260,2,"2011-08-05",93.34,3.684,NA,NA,NA,NA,NA,215.1978515,7.852,0
"262",261,2,"2011-08-12",91.58,3.638,NA,NA,NA,NA,NA,215.2593211,7.852,0
"263",262,2,"2011-08-19",89.86,3.554,NA,NA,NA,NA,NA,215.3229307,7.852,0
"264",263,2,"2011-08-26",90.45,3.523,NA,NA,NA,NA,NA,215.386897,7.852,0
"265",264,2,"2011-09-02",89.64,3.533,NA,NA,NA,NA,NA,215.4508632,7.852,0
